flag,deal_date,pk_class,sys,boss_id,geek_id,job_id,page,rank,list_time,deal_type,deal_time,app_active,chat,chat_read,detail_boss,list_boss,list_notify,msg_return,boss_days,job_days,geek_days
0,2015-12-27,bdp_java,Android,245485,1504403,72288,1,8,2015-12-27 18:53:29,addf,2015-12-27 18:55:57,11,1,3,8,14,5,2,145.0,143.0,87.0
0,2015-12-27,bdp_java,Android,245485,1504403,72288,1,8,2015-12-27 18:53:29,det,2015-12-27 18:54:41,11,1,3,8,14,5,2,145.0,143.0,87.0
0,2015-12-27,bdp_java,Android,245485,202637,72288,1,7,2015-12-27 18:53:29,addf,2015-12-27 18:55:43,15,31,65,19,16,7,5,145.0,143.0,155.0
0,2015-12-27,bdp_java,Android,245485,202637,72288,1,7,2015-12-27 18:53:29,chat,2015-12-27 22:03:50,18,34,71,19,19,9,6,145.0,143.0,155.0
0,2015-12-27,bdp_java,Android,245485,202637,72288,1,7,2015-12-27 18:53:29,det,2015-12-27 18:54:28,15,31,65,19,16,7,5,145.0,143.0,155.0
0,2015-12-27,bdp_java,Android,245485,244343,72288,3,32,2015-12-27 19:00:52,det,2015-12-27 19:01:09,26,10,21,4,5,4,0,145.0,143.0,146.0
0,2015-12-27,bdp_java,Android,245485,3020031,72288,2,20,2015-12-27 18:55:41,det,2015-12-27 18:57:56,2,0,7,3,4,0,2,145.0,143.0,55.0
0,2015-12-27,bdp_java,Android,245485,365281,72288,2,29,2015-12-27 18:55:41,det,2015-12-27 19:01:07,0,0,0,0,0,0,0,145.0,143.0,117.0
0,2015-12-27,bdp_java,Android,245485,3916492,72288,2,21,2015-12-27 18:55:41,addf,2015-12-27 18:58:10,2,0,1,0,2,0,0,145.0,143.0,20.0
0,2015-12-27,bdp_java,Android,245485,3916492,72288,2,21,2015-12-27 18:55:41,det,2015-12-27 18:57:57,2,0,1,0,2,0,0,145.0,143.0,20.0
0,2015-12-27,bdp_java,Android,245485,4014358,72288,2,19,2015-12-27 18:55:41,addf,2015-12-27 18:57:25,8,2,14,11,25,9,7,145.0,143.0,16.0
0,2015-12-27,bdp_java,Android,245485,4014358,72288,2,19,2015-12-27 18:55:41,det,2015-12-27 18:57:19,8,2,14,11,25,9,7,145.0,143.0,16.0
0,2015-12-27,bdp_java,Android,245485,4082218,72288,2,24,2015-12-27 18:55:41,addf,2015-12-27 19:00:25,18,62,159,48,15,4,27,145.0,143.0,13.0
0,2015-12-27,bdp_java,Android,245485,4082218,72288,2,24,2015-12-27 18:55:41,det,2015-12-27 18:59:06,18,62,159,48,15,4,27,145.0,143.0,13.0
0,2015-12-27,bdp_java,Android,245485,4331765,72288,2,23,2015-12-27 18:55:41,det,2015-12-27 19:00:12,31,22,165,63,31,32,20,145.0,143.0,5.0
